,rhc_curve,sa_curve,ga_curve,m_curve
0,937.5708872727294,937.5708872727294,937.5708872727294,835.4095636719793
1,937.5708872727294,937.5708872727294,937.5708872727294,844.4508467411002
2,937.5708872727294,937.5708872727294,937.5708872727294,931.0270692429702
3,937.5708872727294,937.5708872727294,937.5708872727294,968.1789804203701
4,937.5708872727294,937.5708872727294,937.5708872727294,984.2664619420868
5,937.5708872727294,937.5708872727294,937.5708872727294,1003.6284644460301
6,937.5708872727294,937.5708872727294,937.5708872727294,1027.6689094397523
7,937.5708872727294,937.5708872727294,937.5708872727294,1040.8644222737655
8,937.5708872727294,937.5708872727294,937.5708872727294,1044.3362824007484
9,960.5273678392273,960.5273678392273,960.5273678392273,1048.7856511207974
10,960.5273678392273,960.5273678392273,960.5273678392273,1048.7856511207974
11,960.5273678392273,960.5273678392273,960.5273678392273,1048.7856511207974
12,960.5273678392273,960.5273678392273,960.5273678392273,1048.7856511207974
13,984.1916869716258,984.1916869716258,984.1916869716258,1048.7856511207974
14,984.1916869716258,984.1916869716258,984.1916869716258,1048.7856511207974
15,984.1916869716258,984.1916869716258,984.1916869716258,1048.7856511207974
16,984.1916869716258,984.1916869716258,984.1916869716258,1048.7856511207974
17,990.0228454879116,990.0228454879116,990.0228454879116,1048.7856511207974
18,990.0228454879116,990.0228454879116,990.0228454879116,1048.7856511207974
19,990.0228454879116,990.0228454879116,990.0228454879116,1048.7856511207974
20,990.0228454879116,990.0228454879116,990.0228454879116,1048.7856511207974
21,990.0228454879116,990.0228454879116,990.0228454879116,1048.7856511207974
22,990.0228454879116,990.0228454879116,990.0228454879116,1048.7856511207974
23,990.0228454879116,990.0228454879116,990.0228454879116,1048.7856511207974
24,990.0228454879116,990.0228454879116,990.0228454879116,1048.7856511207974
25,990.0228454879116,990.0228454879116,990.0228454879116,1048.7856511207974
26,1019.8724686011101,1019.8724686011101,1019.8724686011101,1048.7856511207974
27,1019.8724686011101,1019.8724686011101,1019.8724686011101,1048.7856511207974
28,1023.3167455995003,1023.3167455995003,1023.3167455995003,1048.7856511207974
29,1023.3167455995003,1023.3167455995003,1023.3167455995003,1048.7856511207974
30,1023.3167455995003,1023.3167455995003,1023.3167455995003,1048.7856511207974
31,1023.3167455995003,1023.3167455995003,1023.3167455995003,1048.7856511207974
32,1023.3167455995003,1023.3167455995003,1023.3167455995003,1048.7856511207974
33,1023.3167455995003,1023.3167455995003,1023.3167455995003,1048.7856511207974
34,1023.3167455995003,1023.3167455995003,1023.3167455995003,1048.7856511207974
35,1064.206842200022,1064.206842200022,1064.206842200022,1048.7856511207974
36,1064.206842200022,1064.206842200022,1064.206842200022,1048.7856511207974
37,1064.206842200022,1064.206842200022,1064.206842200022,1048.7856511207974
38,1064.206842200022,1064.206842200022,1064.206842200022,1048.7856511207974
39,1064.206842200022,1064.206842200022,1064.206842200022,1048.7856511207974
40,1064.206842200022,1064.206842200022,1064.206842200022,1048.7856511207974
41,1064.206842200022,1064.206842200022,1064.206842200022,1048.7856511207974
42,1064.206842200022,1064.206842200022,1064.206842200022,1048.7856511207974
43,1064.206842200022,1064.206842200022,1064.206842200022,1048.7856511207974
44,1064.206842200022,1064.206842200022,1064.206842200022,1048.7856511207974
45,1064.206842200022,1064.206842200022,1064.206842200022,1048.7856511207974
46,1064.206842200022,1064.206842200022,1064.206842200022,1048.7856511207974
47,1064.206842200022,1064.206842200022,1064.206842200022,1048.7856511207974
48,1064.206842200022,1064.206842200022,1064.206842200022,1048.7856511207974
49,1064.206842200022,1064.206842200022,1064.206842200022,1048.7856511207974
50,1064.206842200022,1064.206842200022,1064.206842200022,1048.7856511207974
51,1064.206842200022,1064.206842200022,1064.206842200022,1048.7856511207974
52,1064.206842200022,1064.206842200022,1064.206842200022,1048.7856511207974
53,1065.2761904859676,1065.2761904859676,1065.2761904859676,1048.7856511207974
54,1065.2761904859676,1065.2761904859676,1065.2761904859676,1048.7856511207974
55,1065.2761904859676,1065.2761904859676,1065.2761904859676,1048.7856511207974
56,1065.2761904859676,1065.2761904859676,1065.2761904859676,1048.7856511207974
57,1065.2761904859676,1065.2761904859676,1065.2761904859676,1048.7856511207974
