,rhc_curve,sa_curve,ga_curve,m_curve
0,0.0,0.0,0.0,12.0
1,0.0,0.0,0.0,12.0
2,0.0,0.0,0.0,17.0
3,0.0,0.0,0.0,18.0
4,0.0,0.0,0.0,22.0
5,0.0,0.0,0.0,22.0
6,0.0,0.0,0.0,22.0
7,0.0,0.0,0.0,23.0
8,0.0,0.0,0.0,24.0
9,0.0,0.0,0.0,25.0
10,0.0,0.0,0.0,25.0
11,0.0,0.0,0.0,25.0
12,0.0,0.0,0.0,25.0
13,0.0,0.0,0.0,25.0
14,0.0,0.0,0.0,25.0
15,0.0,0.0,0.0,25.0
16,0.0,0.0,0.0,25.0
17,0.0,0.0,0.0,25.0
18,0.0,0.0,0.0,25.0
19,0.0,0.0,0.0,25.0
20,0.0,0.0,0.0,25.0
21,0.0,0.0,0.0,25.0
22,0.0,0.0,0.0,25.0
23,0.0,0.0,0.0,25.0
24,0.0,0.0,0.0,25.0
25,0.0,0.0,0.0,25.0
26,0.0,0.0,0.0,25.0
27,0.0,0.0,0.0,25.0
28,0.0,0.0,0.0,25.0
29,0.0,0.0,0.0,25.0
30,1.0,1.0,1.0,25.0
31,1.0,1.0,1.0,25.0
32,1.0,1.0,1.0,25.0
33,1.0,1.0,1.0,25.0
34,1.0,1.0,1.0,25.0
35,1.0,1.0,1.0,25.0
36,1.0,1.0,1.0,25.0
37,1.0,1.0,1.0,25.0
38,1.0,1.0,1.0,25.0
39,1.0,1.0,1.0,28.0
40,1.0,1.0,1.0,28.0
41,1.0,1.0,1.0,28.0
42,2.0,2.0,2.0,28.0
43,2.0,2.0,2.0,28.0
44,2.0,2.0,2.0,28.0
45,2.0,2.0,2.0,28.0
46,2.0,2.0,2.0,28.0
47,2.0,2.0,2.0,28.0
48,2.0,2.0,2.0,28.0
49,2.0,2.0,2.0,28.0
50,2.0,2.0,2.0,28.0
51,2.0,2.0,2.0,28.0
52,2.0,2.0,2.0,28.0
53,2.0,2.0,2.0,28.0
54,2.0,2.0,2.0,28.0
55,2.0,2.0,2.0,28.0
56,2.0,2.0,2.0,28.0
57,2.0,2.0,2.0,28.0
58,2.0,2.0,2.0,28.0
59,2.0,2.0,2.0,28.0
60,2.0,2.0,2.0,28.0
61,2.0,2.0,2.0,28.0
62,2.0,2.0,2.0,28.0
63,2.0,2.0,2.0,28.0
64,2.0,2.0,2.0,28.0
65,2.0,2.0,2.0,28.0
66,2.0,2.0,2.0,28.0
67,2.0,2.0,2.0,28.0
68,2.0,2.0,2.0,28.0
69,2.0,2.0,2.0,28.0
70,2.0,2.0,2.0,28.0
71,2.0,2.0,2.0,28.0
72,2.0,2.0,2.0,28.0
73,2.0,2.0,2.0,28.0
74,4.0,4.0,4.0,28.0
75,4.0,4.0,4.0,28.0
76,4.0,4.0,4.0,28.0
77,4.0,4.0,4.0,28.0
78,4.0,4.0,4.0,28.0
79,4.0,4.0,4.0,28.0
80,4.0,4.0,4.0,28.0
81,4.0,4.0,4.0,28.0
82,4.0,4.0,4.0,28.0
83,4.0,4.0,4.0,28.0
84,4.0,4.0,4.0,28.0
85,4.0,4.0,4.0,28.0
86,5.0,5.0,5.0,28.0
87,5.0,5.0,5.0,28.0
88,5.0,5.0,5.0,28.0
89,5.0,5.0,5.0,28.0
90,5.0,5.0,5.0,28.0
91,5.0,5.0,5.0,28.0
92,5.0,5.0,5.0,28.0
93,5.0,5.0,5.0,28.0
94,5.0,5.0,5.0,28.0
95,5.0,5.0,5.0,28.0
96,5.0,5.0,5.0,28.0
97,5.0,5.0,5.0,28.0
98,5.0,5.0,5.0,28.0
99,5.0,5.0,5.0,28.0
100,5.0,5.0,5.0,28.0
101,5.0,5.0,5.0,28.0
102,5.0,5.0,5.0,28.0
103,5.0,5.0,5.0,28.0
104,5.0,5.0,5.0,28.0
105,5.0,5.0,5.0,28.0
106,5.0,5.0,5.0,28.0
107,5.0,5.0,5.0,28.0
108,5.0,5.0,5.0,28.0
109,5.0,5.0,5.0,28.0
110,5.0,5.0,5.0,28.0
111,5.0,5.0,5.0,28.0
112,5.0,5.0,5.0,28.0
113,5.0,5.0,5.0,29.0
114,5.0,5.0,5.0,29.0
115,5.0,5.0,5.0,29.0
116,5.0,5.0,5.0,29.0
117,5.0,5.0,5.0,29.0
118,5.0,5.0,5.0,29.0
119,5.0,5.0,5.0,29.0
120,5.0,5.0,5.0,29.0
121,5.0,5.0,5.0,29.0
122,5.0,5.0,5.0,29.0
123,5.0,5.0,5.0,29.0
124,5.0,5.0,5.0,29.0
125,5.0,5.0,5.0,29.0
126,5.0,5.0,5.0,29.0
127,5.0,5.0,5.0,29.0
128,5.0,5.0,5.0,29.0
129,5.0,5.0,5.0,30.0
130,5.0,5.0,5.0,30.0
131,5.0,5.0,5.0,30.0
132,5.0,5.0,5.0,30.0
133,5.0,5.0,5.0,30.0
134,5.0,5.0,5.0,30.0
135,5.0,5.0,5.0,30.0
136,5.0,5.0,5.0,30.0
137,5.0,5.0,5.0,30.0
138,8.0,8.0,8.0,30.0
139,8.0,8.0,8.0,30.0
140,8.0,8.0,8.0,30.0
141,8.0,8.0,8.0,30.0
142,8.0,8.0,8.0,30.0
143,8.0,8.0,8.0,30.0
144,8.0,8.0,8.0,30.0
145,8.0,8.0,8.0,30.0
146,8.0,8.0,8.0,30.0
147,8.0,8.0,8.0,30.0
148,8.0,8.0,8.0,30.0
149,8.0,8.0,8.0,30.0
150,8.0,8.0,8.0,30.0
151,8.0,8.0,8.0,30.0
152,8.0,8.0,8.0,30.0
153,13.0,13.0,13.0,30.0
154,13.0,13.0,13.0,30.0
155,13.0,13.0,13.0,30.0
156,13.0,13.0,13.0,30.0
157,13.0,13.0,13.0,30.0
158,13.0,13.0,13.0,30.0
159,13.0,13.0,13.0,30.0
160,14.0,14.0,14.0,30.0
161,14.0,14.0,14.0,30.0
162,14.0,14.0,14.0,30.0
163,14.0,14.0,14.0,30.0
164,14.0,14.0,14.0,30.0
165,14.0,14.0,14.0,30.0
166,14.0,14.0,14.0,30.0
167,14.0,14.0,14.0,30.0
168,14.0,14.0,14.0,30.0
169,14.0,14.0,14.0,30.0
170,14.0,14.0,14.0,30.0
171,14.0,14.0,14.0,30.0
172,14.0,14.0,14.0,30.0
173,14.0,14.0,14.0,30.0
174,14.0,14.0,14.0,30.0
175,14.0,14.0,14.0,30.0
176,14.0,14.0,14.0,30.0
177,14.0,14.0,14.0,30.0
178,14.0,14.0,14.0,30.0
179,14.0,14.0,14.0,30.0
180,14.0,14.0,14.0,30.0
181,14.0,14.0,14.0,30.0
182,14.0,14.0,14.0,30.0
183,14.0,14.0,14.0,30.0
184,14.0,14.0,14.0,30.0
185,18.0,18.0,18.0,30.0
186,18.0,18.0,18.0,30.0
187,18.0,18.0,18.0,30.0
188,18.0,18.0,18.0,30.0
189,18.0,18.0,18.0,30.0
190,18.0,18.0,18.0,30.0
191,18.0,18.0,18.0,30.0
192,18.0,18.0,18.0,30.0
193,18.0,18.0,18.0,30.0
194,18.0,18.0,18.0,30.0
195,18.0,18.0,18.0,30.0
196,18.0,18.0,18.0,30.0
197,18.0,18.0,18.0,30.0
198,18.0,18.0,18.0,30.0
199,18.0,18.0,18.0,30.0
