,rhc_fitnesses,sa_fitnesses,ga_fitnesses,m_fitnesses,rhc_times,sa_times,ga_times,m_times
0,6.0,6.0,6.0,6.0,0.8591830730438232,0.002839326858520508,1.6464717388153076,1.1660666465759277
1,10.0,10.0,10.0,10.0,0.9309852123260498,0.0046291351318359375,1.6968538761138916,2.079989433288574
2,14.0,14.0,14.0,14.0,0.9467353820800781,0.0047681331634521484,1.706512451171875,3.3967044353485107
3,18.0,18.0,18.0,18.0,1.0680575370788574,0.0034973621368408203,1.7502667903900146,5.064099550247192
4,15.0,27.0,27.0,27.0,1.9577662944793701,0.005086183547973633,1.8315184116363525,11.05689787864685
5,20.0,37.0,37.0,37.0,2.3245744705200195,0.0058002471923828125,2.3052337169647217,20.362459659576416
6,25.0,46.0,46.0,46.0,3.684380292892456,0.011149168014526367,2.4653191566467285,31.328410148620605
7,30.0,38.0,56.0,56.0,1.2129673957824707,0.0054187774658203125,2.625922679901123,46.519333839416504
