,rhc_fitnesses,sa_fitnesses,ga_fitnesses,m_fitnesses,rhc_times,sa_times,ga_times,m_times
0,14.0,14.0,14.0,14.0,43.00745701789856,0.1110222339630127,45.857473373413086,23.286897897720337
1,30.0,30.0,14.0,6.0,49.866058349609375,0.14211606979370117,47.299532651901245,43.35609674453735
2,62.0,62.0,6.0,6.0,66.12141847610474,0.16362404823303223,47.320433378219604,75.07711410522461
3,126.0,126.0,2.0,2.0,96.89793038368225,0.21527647972106934,46.43261170387268,146.75000309944153
4,254.0,254.0,2.0,6.0,23.70073938369751,0.29187941551208496,44.584716796875,314.03076577186584
